"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015z7xp","ark:/21198/zz0015z70q","2","Completed","Page","scwu/images/masters/21198-zz0015z7xp-1-master.tif","27","","","","","","","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z7xp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015z7z6","ark:/21198/zz0015z70q","2","Completed","Page","scwu/images/masters/21198-zz0015z7z6-1-master.tif","28","","","","","","","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z7z6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015z806","ark:/21198/zz0015z70q","2","Completed","Page","scwu/images/masters/21198-zz0015z806-1-master.tif","29","","","","","","","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z806"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015z81q","ark:/21198/zz0015z70q","2","Completed","Page","scwu/images/masters/21198-zz0015z81q-1-master.tif","30","","","","","","","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z81q"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015z827","ark:/21198/zz0015z70q","2","Completed","Page","scwu/images/masters/21198-zz0015z827-1-master.tif","31","","","","","","","","","","","","","","","","","","","","","","","","","Page 31","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z827"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015z83r","ark:/21198/zz0015z70q","2","Completed","Page","scwu/images/masters/21198-zz0015z83r-1-master.tif","32","","","","","","","","","","","","","","","","","","","","","","","","","Page 32","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z83r"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqn9","ark:/21198/zz0015zqms","2","Completed","Page","","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","missing",
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqpt","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqpt-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqpt"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqqb","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqqb-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqqb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqrv","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqrv-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqrv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqsc","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqsc-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqsc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqtw","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqtw-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqtw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqvd","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqvd-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqvd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqwx","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqwx-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqwx"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqxf","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqxf-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqxf"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zqzz","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zqzz-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqzz"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr0z","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr0z-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr0z"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr1g","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr1g-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr1g"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr20","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr20-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr20"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr3h","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr3h-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr3h"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr41","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr41-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr41"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr5j","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr5j-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr5j"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr62","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr62-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr62"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr7k","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr7k-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr7k"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr83","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr83-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr83"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zr9m","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zr9m-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zr9m"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrb4","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrb4-1-master.tif","21","","","","","","","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrb4"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrcn","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrcn-1-master.tif","22","","","","","","","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrcn"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrd5","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrd5-1-master.tif","23","","","","","","","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrd5"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrfp","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrfp-1-master.tif","24","","","","","","","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrfp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrg6","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrg6-1-master.tif","25","","","","","","","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrg6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrhq","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrhq-1-master.tif","26","","","","","","","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrhq"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrj7","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrj7-1-master.tif","27","","","","","","","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrj7"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrkr","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrkr-1-master.tif","28","","","","","","","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrkr"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrm8","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrm8-1-master.tif","29","","","","","","","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrm8"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrns","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrns-1-master.tif","30","","","","","","","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrns"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrwd","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrwd-1-master.tif","31","","","","","","","","","","","","","","","","","","","","","","","","","Page 1 - Dinner Program Insert","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrwd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zrxx","ark:/21198/zz0015zqms","2","Completed","Page","scwu/images/masters/21198-zz0015zrxx-1-master.tif","32","","","","","","","","","","","","","","","","","","","","","","","","","Page 2 - Dinner Program Insert","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zrxx"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsh6","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsh6-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsh6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsjq","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsjq-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsjq"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsk7","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsk7-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsk7"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsmr","ark:/21198/zz0015zs93","2","Completed","Page","","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","missing",
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsn8","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsn8-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsn8"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsps","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsps-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsps"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsq9","ark:/21198/zz0015zs93","2","Completed","Page","","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","missing",
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsrt","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsrt-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsrt"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zssb","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zssb-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zssb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zstv","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zstv-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zstv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsvc","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsvc-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsvc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsww","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsww-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsww"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zsxd","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zsxd-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsxd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zszx","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zszx-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zszx"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt0x","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt0x-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt0x"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt1f","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt1f-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt1f"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt2z","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt2z-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt2z"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt3g","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt3g-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt3g"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt40","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt40-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt40"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt5h","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt5h-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt5h"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt61","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt61-1-master.tif","21","","","","","","","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt61"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt7j","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt7j-1-master.tif","22","","","","","","","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt7j"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt82","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt82-1-master.tif","23","","","","","","","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt82"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zt9k","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zt9k-1-master.tif","24","","","","","","","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zt9k"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztb3","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztb3-1-master.tif","25","","","","","","","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztb3"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztcm","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztcm-1-master.tif","26","","","","","","","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztcm"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztd4","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztd4-1-master.tif","27","","","","","","","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztd4"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztfn","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztfn-1-master.tif","28","","","","","","","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztfn"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztg5","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztg5-1-master.tif","29","","","","","","","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztg5"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zthp","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015zthp-1-master.tif","30","","","","","","","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zthp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztj6","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztj6-1-master.tif","31","","","","","","","","","","","","","","","","","","","","","","","","","Page 31","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztj6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ztkq","ark:/21198/zz0015zs93","2","Completed","Page","scwu/images/masters/21198-zz0015ztkq-1-master.tif","32","","","","","","","","","","","","","","","","","","","","","","","","","Page 32","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ztkq"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zwzc","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zwzc-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zwzc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zx0c","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zx0c-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zx0c"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zx1w","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zx1w-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zx1w"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zx2d","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zx2d-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zx2d"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zx3x","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zx3x-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zx3x"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zx4f","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zx4f-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zx4f"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015zx5z","ark:/21198/zz0015zwqr","2","Completed","Page","scwu/images/masters/21198-zz0015zx5z-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zx5z"
